server,rate_rps,workers,rho_obs,rho0,S0_ms,alpha,beta,fit_best_model,M0_mean_ms,M1_mean_ms,M2_mean_ms,ks_M0,ks_M1,ks_M2,delta_M1_minus_M2,best_ks_model,M2_beats_M1
Apache DSP (1c),10,1,0.025,0.032,3.242,30.54,0.999,M1 linear,3.242,4.232,3.351,0.5993,0.5001,0.5853,-0.0852,M1,False
Apache DSP (1c),25,1,0.066,0.081,3.242,30.54,0.999,M1 linear,3.242,5.717,3.528,0.5763,0.3705,0.5456,-0.1751,M1,False
Apache DSP (1c),50,1,0.167,0.162,3.242,30.54,0.999,M1 linear,3.242,8.193,3.868,0.5278,0.5251,0.4589,0.0662,M2,True
Apache DSP (1c),75,1,0.435,0.243,3.242,30.54,0.999,M1 linear,3.242,10.668,4.282,0.4828,0.675,0.3671,0.3079,M2,True
Apache MSG (1c),10,1,0.02,0.021,2.062,6.816,0.999,M1 linear,2.062,2.203,2.105,0.4474,0.4007,0.4309,-0.0303,M1,False
Apache MSG (1c),25,1,0.053,0.052,2.062,6.816,0.999,M1 linear,2.062,2.413,2.174,0.4329,0.3123,0.3925,-0.0802,M1,False
Apache MSG (1c),50,1,0.123,0.103,2.062,6.816,0.999,M1 linear,2.062,2.765,2.299,0.4488,0.2599,0.3743,-0.1144,M1,False
Go lognormal (1c),100,1,0.163,0.142,1.418,6.554,0.999,M1 linear,1.418,2.347,1.652,0.171,0.2672,0.1127,0.1545,M2,True
Go lognormal (1c),200,1,0.435,0.284,1.418,6.554,0.999,M1 linear,1.418,3.277,1.979,0.1815,0.4398,0.0925,0.3473,M2,True
Go lognormal (1c),50,1,0.061,0.071,1.418,6.554,0.999,M1 linear,1.418,1.883,1.526,0.1552,0.2181,0.1335,0.0847,M2,True
Go SQLite (1c),10,1,0.113,0.108,10.786,0.0,0.0,M0 constant,10.786,10.786,10.786,0.54,0.54,0.54,0.0,M0,False
Go SQLite (1c),25,1,0.266,0.27,10.786,0.0,0.0,M0 constant,10.786,10.786,10.786,0.2056,0.2056,0.2056,0.0,M0,False
Go SQLite (1c),50,1,0.523,0.539,10.786,0.0,0.0,M0 constant,10.786,10.786,10.786,0.4734,0.4734,0.4734,0.0,M0,False
Go SQLite (1c),75,1,0.803,0.809,10.786,0.0,0.0,M0 constant,10.786,10.786,10.786,0.7089,0.7089,0.7089,0.0,M0,False
Java DSP (1c),100,4,0.006,0.009,0.376,0.867,0.999,M0 constant,0.376,0.384,0.38,0.5992,0.5947,0.5969,-0.0021,M1,False
Java DSP (1c),200,4,0.012,0.019,0.376,0.867,0.999,M0 constant,0.376,0.392,0.383,0.6017,0.5927,0.598,-0.0052,M1,False
Java DSP (1c),25,4,0.003,0.002,0.376,0.867,0.999,M0 constant,0.376,0.378,0.377,0.7515,0.7512,0.7513,-0.0001,M1,False
Java DSP (1c),400,4,0.068,0.038,0.376,0.867,0.999,M0 constant,0.376,0.409,0.391,0.6051,0.5863,0.5978,-0.0115,M1,False
Java DSP (1c),50,4,0.004,0.005,0.376,0.867,0.999,M0 constant,0.376,0.38,0.378,0.6085,0.6059,0.6073,-0.0014,M1,False
Java DSP (1c),600,4,0.067,0.056,0.376,0.867,0.999,M0 constant,0.376,0.425,0.398,0.6061,0.5785,0.5939,-0.0154,M1,False
Node DSP (1c),100,1,0.058,0.083,0.831,4.945,0.999,M1 linear,0.831,1.242,0.906,0.2332,0.5979,0.3211,0.2768,M0,True
Node DSP (1c),200,1,0.236,0.166,0.831,4.945,0.999,M1 linear,0.831,1.653,0.996,0.7698,0.7344,0.7628,-0.0284,M1,False
Node DSP (1c),400,1,0.564,0.332,0.831,4.945,0.999,M1 linear,0.831,2.475,1.244,0.6251,0.5254,0.6012,-0.0757,M1,False
Node DSP (1c),50,1,0.032,0.042,0.831,4.945,0.999,M1 linear,0.831,1.036,0.867,0.1006,0.2873,0.1282,0.1591,M0,True
Python DSP (1c),10,1,0.085,0.082,8.186,0.0,0.0,M0 constant,8.186,8.186,8.186,0.5599,0.5599,0.5599,0.0,M0,False
Python DSP (1c),25,1,0.204,0.205,8.186,0.0,0.0,M0 constant,8.186,8.186,8.186,0.2867,0.2867,0.2867,0.0,M0,False
Python DSP (1c),50,1,0.397,0.409,8.186,0.0,0.0,M0 constant,8.186,8.186,8.186,0.2772,0.2772,0.2772,0.0,M0,False
Python DSP (1c),75,1,0.613,0.614,8.186,0.0,0.0,M0 constant,8.186,8.186,8.186,0.2984,0.2984,0.2984,0.0,M0,False
Python DSP (3c),100,3,0.389,0.323,9.702,4.419,0.324,M1 linear,9.702,11.131,10.838,0.2722,0.1419,0.1641,-0.0222,M1,False
Python DSP (3c),150,3,0.582,0.485,9.702,4.419,0.324,M1 linear,9.702,11.846,11.511,0.2762,0.1021,0.1228,-0.0207,M1,False
Python DSP (3c),200,3,0.794,0.647,9.702,4.419,0.324,M1 linear,9.702,12.56,12.274,0.2943,0.1405,0.1153,0.0252,M2,True
Python DSP (3c),25,3,0.078,0.081,9.702,4.419,0.324,M1 linear,9.702,10.059,9.963,0.6281,0.6141,0.6184,-0.0043,M1,False
Python DSP (3c),50,3,0.171,0.162,9.702,4.419,0.324,M1 linear,9.702,10.417,10.238,0.3215,0.2985,0.3043,-0.0058,M1,False
Node DSP (3c),1600,3,0.61,0.57,1.068,0.036,0.031,M0 constant,1.068,1.089,1.087,0.6744,0.6737,0.6738,-0.0,M1,False
Node DSP (3c),200,3,0.071,0.071,1.068,0.036,0.031,M0 constant,1.068,1.071,1.07,0.775,0.7749,0.7749,0.0,M1,False
Node DSP (3c),2400,3,0.843,0.854,1.068,0.036,0.031,M0 constant,1.068,1.099,1.097,0.7384,0.7375,0.7376,-0.0001,M1,False
Node DSP (3c),400,3,0.134,0.142,1.068,0.036,0.031,M0 constant,1.068,1.073,1.073,0.77,0.7697,0.7698,-0.0,M1,False
Node DSP (3c),800,3,0.301,0.285,1.068,0.036,0.031,M0 constant,1.068,1.078,1.078,0.7062,0.7059,0.7059,-0.0,M1,False
Java DSP (3c),100,3,0.016,0.01,0.303,0.0,0.0,M0 constant,0.303,0.303,0.303,0.7937,0.7937,0.7937,0.0,M0,False
Java DSP (3c),200,3,0.017,0.02,0.303,0.0,0.0,M0 constant,0.303,0.303,0.303,0.7788,0.7788,0.7788,0.0,M0,False
Java DSP (3c),400,3,0.04,0.04,0.303,0.0,0.0,M0 constant,0.303,0.303,0.303,0.78,0.78,0.78,0.0,M0,False
Java DSP (3c),600,3,0.047,0.061,0.303,0.0,0.0,M0 constant,0.303,0.303,0.303,0.7797,0.7797,0.7797,0.0,M0,False
Java DSP (3c),800,3,0.069,0.081,0.303,0.0,0.0,M0 constant,0.303,0.303,0.303,0.7802,0.7802,0.7802,0.0,M0,False
Go SQLite (3c),100,3,0.171,0.166,4.991,2.088,0.318,M2 hyperbolic,4.991,5.338,5.27,0.5766,0.5669,0.5689,-0.002,M1,False
Go SQLite (3c),200,3,0.372,0.333,4.991,2.088,0.318,M2 hyperbolic,4.991,5.686,5.582,0.4025,0.3829,0.3857,-0.0028,M1,False
Go SQLite (3c),400,3,0.845,0.665,4.991,2.088,0.318,M2 hyperbolic,4.991,6.38,6.331,0.2878,0.2479,0.2491,-0.0011,M1,False
Go SQLite (3c),50,3,0.087,0.083,4.991,2.088,0.318,M2 hyperbolic,4.991,5.165,5.127,0.7538,0.751,0.7515,-0.0005,M1,False
